,0,1,2,3,4,5
0,735612.0,149.96293624,150.873213,151.541395392,148.878357345,4690300.0
1,735613.0,151.735068404,149.682113,152.006213128,149.28507533,4248400.0
2,735614.0,148.95582954,152.170835,152.645345772,148.95582954,5756000.0
3,735618.0,151.744746633,151.986841,152.35482928,149.159180725,8392800.0
4,735619.0,148.19080373,147.280526,149.614319584,146.29279163,11897100.0
5,735620.0,147.135275614,150.476175,150.795741504,146.960960889,6120100.0
6,735621.0,150.127558796,150.940992,152.616295682,149.991985949,4834800.0
7,735624.0,153.255413381,151.415502,154.417477964,150.844162199,7888100.0
8,735625.0,150.040407261,148.810564,150.185658072,147.764714395,5659600.0
9,735626.0,149.130130905,146.757609,149.643369997,146.757609,4495900.0
10,735627.0,146.592986093,150.563325,150.660168557,144.791803032,8320800.0
11,735628.0,149.042980292,148.461948,150.330923296,148.200481241,6563600.0
12,735631.0,149.130129998,149.769263,149.769263,146.718865262,4712200.0
13,735632.0,149.856413835,153.458779,153.584672913,149.856413835,5539400.0
14,735633.0,152.238628367,151.996534,153.691194567,151.744746175,3678500.0
15,735634.0,152.316085317,152.91649,153.574978932,152.18051344,5253600.0
16,735635.0,153.433321831,152.828721,154.154953849,152.350882581,3225000.0
17,735638.0,152.126596623,151.882804,153.58935236,151.541488477,3057700.0
18,735639.0,152.848227534,154.623031,154.623031,151.229441594,4440600.0
19,735640.0,153.842892033,154.271969,155.139869763,153.267544368,3626700.0
20,735641.0,154.779062174,154.584031,155.539694186,154.164699885,3333100.0
21,735642.0,154.837569679,156.417341,156.807417973,154.701045811,3706900.0
22,735646.0,155.78348588,156.963449,157.402272795,155.76397857,2894500.0
23,735647.0,157.841097761,158.162905,158.435951764,156.651387803,4358400.0
24,735648.0,158.026382184,159.820692,160.40580015,157.431527205,3504400.0
25,735649.0,159.576898171,159.586645,160.259514589,158.065380984,3353000.0
26,735652.0,160.15224625,158.865029,160.318023284,158.465205197,2714400.0
27,735653.0,158.455457976,160.737354,160.893384204,157.499781143,4701600.0
28,735654.0,160.844623051,158.767506,160.864131336,158.543220687,4004600.0
29,735655.0,159.674421061,156.875672,160.064483406,155.802993237,7110800.0
30,735656.0,156.875672744,157.919112,158.260412897,156.183310468,4410000.0
31,735659.0,157.919111772,156.495357,157.919111772,155.841994719,5917900.0
32,735660.0,156.290578304,157.031703,157.733826728,156.027278371,3234400.0
33,735661.0,156.553864076,155.461678,156.573372362,154.779061581,3633600.0
34,735662.0,155.890755753,157.177973,157.490034383,155.734724573,3791700.0
35,735663.0,156.212563082,154.564523,157.431526197,154.135446033,4540200.0
36,735666.0,154.271969008,156.778164,157.148719035,154.271969008,5193900.0
37,735667.0,155.637215978,153.891653,156.251563634,153.891653,4601000.0
38,735668.0,154.632791671,152.906736,155.18863105,152.068088402,5709900.0
39,735669.0,152.389896265,154.05743,154.779061038,152.389896265,4567300.0
40,735670.0,153.550351955,150.449302,153.608859259,149.591147094,6064100.0
41,735673.0,151.200187874,153.179783,153.189528854,150.956395251,3749600.0
42,735674.0,152.321627676,153.062767,153.384559609,151.512234218,3311700.0
43,735675.0,152.955497152,155.841994,156.709894761,151.931565212,5738800.0
44,735676.0,155.734724271,155.841994,156.924433244,154.86682351,3878600.0
45,735677.0,156.953688144,158.835775,158.952790583,156.368594624,9006400.0
46,735680.0,158.728504909,160.542323,161.24444673,158.689490288,5930100.0
47,735681.0,160.698338352,158.95279,160.795861252,158.8552671,4346100.0
48,735682.0,159.030806399,155.24714,159.030806399,155.24714,5428900.0
49,735683.0,155.315408747,156.602626,157.246242428,154.964347369,4396000.0
50,735684.0,156.797656517,156.417341,156.904926246,155.276393475,3477900.0
51,735687.0,157.304750131,158.630982,159.537898359,157.246241852,4138000.0
52,735688.0,157.080464836,156.514864,158.299427951,156.4173411,4255400.0
53,735689.0,156.251563942,155.227632,156.631879458,154.457253163,3700800.0
54,735690.0,155.559201266,156.466103,158.504205434,154.944838978,4671600.0
55,735694.0,155.724978116,158.01662,158.757759327,154.759554451,3465700.0
56,735695.0,157.655812025,158.045889,159.77193005,157.607050575,3148000.0
57,735696.0,157.70457296,157.83135,159.489136911,157.01219606,2524300.0
58,735697.0,157.685065859,158.309174,158.43595104,156.729402677,2263500.0
59,735698.0,158.309173469,158.816267,159.274598106,157.246241536,2515700.0
60,735701.0,158.338427543,158.348189,159.927960318,158.32868169,3868900.0
61,735702.0,158.387189583,158.270174,158.699250967,156.797656803,2719300.0
62,735703.0,158.59198226,160.054738,160.86413146,158.465205219,3498800.0
63,735704.0,159.255090862,159.079567,159.90845314,158.504204709,3136900.0
64,735705.0,157.733827082,156.680641,157.841096811,156.05653286,4314400.0
65,735708.0,158.075142749,162.034333,162.502409961,157.880096949,9609200.0
66,735709.0,161.946570291,160.1815,163.224041684,159.976721998,9683600.0
67,735710.0,160.308275676,161.254193,161.878301138,158.845519942,4024800.0
68,735711.0,161.127417042,166.01303,167.641563752,161.039654623,8235600.0
69,735712.0,166.003268795,165.564445,166.607884252,164.55027354,3888400.0
